"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"67",400,20,15,5,0.286668658909478,0.149503165616697,0.0938184664176128
"68",500,20,15,5,0.286624171114872,0.148341632631398,0.0993283510689102
"69",600,20,15,5,0.286458778892729,0.148458647738924,0.105092718018723
"70",700,20,15,5,0.28649336668118,0.148931503139471,0.100494057250674
"71",300,30,15,5,0.288684821701739,0.148897748975966,0.0845134448114399
"72",400,30,15,5,0.285632314653787,0.148165799801814,0.10573751158675
"73",500,30,15,5,0.287136550353614,0.148741894950598,0.0956084556319648
"74",600,30,15,5,0.288153579764069,0.149701686236256,0.0913467924077687
"75",700,30,15,5,0.288705311195661,0.14975148266267,0.0832280345594183
"76",300,40,15,5,0.291879299605388,0.152727745932666,0.0614947433640501
"77",400,40,15,5,0.291133289066438,0.149929364357056,0.0708451481168973
"78",500,40,15,5,0.28834593098343,0.14970440337749,0.0901720859402189
"79",600,40,15,5,0.287714029904312,0.149962118199632,0.0902123440825456
"80",700,40,15,5,0.288713585663875,0.149998292598379,0.0898453933202105
"81",300,50,15,5,0.291725087062192,0.151360648631326,0.066875902481199
"82",400,50,15,5,0.290677272819314,0.151234050118069,0.0685557992871888
"83",500,50,15,5,0.287447753189686,0.150557788704399,0.0936066881281991
"84",600,50,15,5,0.290991576506487,0.151104673783528,0.0687488178831308
"85",700,50,15,5,0.290283505459554,0.150689796397836,0.0757816909628374
"86",300,60,15,5,0.29422738562478,0.153085337802571,0.0393788141363166
"87",400,60,15,5,0.290456429665952,0.150240145848421,0.0730196443919577
"88",500,60,15,5,0.291416204705871,0.151632589131165,0.0650390241856379
"89",600,60,15,5,0.292466278915214,0.151589320345264,0.0589529146758031
"90",700,60,15,5,0.29184817806814,0.151745709848596,0.0649754611352961
"91",300,10,20,5,0.288057726347275,0.150142188607748,0.0856394766749616
"92",400,10,20,5,0.286362312582034,0.149339628115638,0.10214036068013
"93",500,10,20,5,0.289394849496017,0.150632882832765,0.0810787009887345
"94",600,10,20,5,0.287285693585519,0.149678582716616,0.0932145706592067
"95",700,10,20,5,0.288287029393019,0.150467250359873,0.0880177903604567
"96",300,20,20,5,0.287640400522078,0.14877471812788,0.0954182081306019
"97",400,20,20,5,0.2886635182406,0.150248841160717,0.0904125043818603
"98",500,20,20,5,0.287881731277008,0.149712962735141,0.0910230411090738
"99",600,20,20,5,0.287908505803388,0.149954692826874,0.0932523473175464
"100",700,20,20,5,0.288025325152859,0.150335939408662,0.0902918827590491
"101",300,30,20,5,0.290518729850402,0.150715531604365,0.0717889633988712
"102",400,30,20,5,0.290048911140551,0.150775855583269,0.0770320222711488
"103",500,30,20,5,0.288995464647491,0.149867183920925,0.0878591563073108
"104",600,30,20,5,0.287944438614618,0.149502718737907,0.0941412970100129
"105",700,30,20,5,0.28866536500949,0.150783498523177,0.0898151003823585
"106",300,40,20,5,0.288098996802801,0.149101861262795,0.0945035317369785
"107",400,40,20,5,0.289408873756582,0.150527667147431,0.0854147594076838
"108",500,40,20,5,0.290053645998284,0.150647239364511,0.0778635632138867
"109",600,40,20,5,0.286973326098384,0.14874354468444,0.100896554311961
"110",700,40,20,5,0.28916442177315,0.149808537197031,0.087416856933481
